Service Area,Account Description,Creditor,Journal Date,Journal Reference,Total
Assurance,Travelling Expenses,TICKETOFFICESALE,04/03/2016,7331,29.1
Assurance,Travelling Expenses,SELFSERVE TICKET,07/03/2016,7342,10
Assurance,Miscellaneous Expenses,BIRMINGHAM CC,22/04/2016,7871,69
Assurance,Miscellaneous Expenses,BIRMINGHAM CC,25/04/2016,7891,13
Assurance,Miscellaneous Expenses,D H C LTD,08/06/2016,8320,170.85
Assurance,Equipment and Materials Purcha,PP HIREWITNESS,15/07/2016,8752,370
Children's Service DSG,Hardware Purchases,"AMAZON SVCS EUROPE,SAR",12/05/2016,8042,136.01
Children's Service DSG,Travelling Expenses,WWW.GL-EDUCATION.C,13/05/2016,8049,274.52
Children's Service DSG,Travelling Expenses,THE CHILTERN RLYWY,21/04/2016,7846,27.7
Children's Service DSG,Equipment and Materials Purcha,WWW.CONNEVANS.COM,08/04/2016,7716,45.6
Children's Service DSG,Equipment and Materials Purcha,NAS,08/04/2016,7717,43.04
Children's Service DSG,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,17/05/2016,8090,1.25
Children's Service DSG,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,11/04/2016,7730,38.8
Children's Service DSG,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,19/05/2016,8121,38.97
Children's Service DSG,Equipment and Materials Purcha,BRAIN SENSE THERAPY,24/05/2016,8167,43
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,10/06/2016,8341,22.98
Children's Family Services,Travelling Expenses,TRAINLINE,29/04/2016,7941,131.68
Children's Family Services,Miscellaneous Expenses,WWW.GROUPON.CO.UK,29/06/2016,8575,22
Children's Family Services,Miscellaneous Expenses,WWW.GROUPON.CO.UK,29/06/2016,8576,249
Children's Service DSG,Subscriptions,AMAZON PRIME,11/04/2016,7729,79
Children's Service DSG,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,10/03/2016,7405,18.94
Children's Service DSG,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,10/03/2016,7406,42.92
Children's Service DSG,Conference Expenses,EB PRE-SCHOOL LEARNIN,28/04/2016,7926,360
Children's Service DSG,Food Costs,SAINSBURYS 0124,16/06/2016,8400,19.75
